Product Name,Brand,Price (USD),Rating,Review Count,Description,Extraction Date
Asus VivoBook X441NA-GA190,Asus,295.99,3,14,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",2026-01-13 19:20:48
Prestigio SmartBook 133S Dark Grey,Prestigio,299.0,2,8,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",2026-01-13 19:20:48
Prestigio SmartBook 133S Gold,Prestigio,299.0,4,12,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",2026-01-13 19:20:48
Aspire E1-510,Aspire,306.99,3,2,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2026-01-13 19:20:48
Lenovo V110-15IAP,Lenovo,321.94,3,5,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
Lenovo V110-15IAP,Lenovo,356.49,2,6,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",2026-01-13 19:20:48
Hewlett Packard 250 G6 Dark Ash Silver,Hewlett,364.46,1,12,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",2026-01-13 19:20:48
Acer Aspire 3 A315-31 Black,Acer,372.7,2,2,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
Acer Aspire A315-31-C33J,Acer,379.94,2,0,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",2026-01-13 19:20:48
Acer Aspire ES1-572 Black,Acer,379.95,4,9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",2026-01-13 19:20:48
Acer Aspire 3 A315-31 Black,Acer,391.48,4,10,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
Acer Aspire 3 A315-21,Acer,393.88,3,9,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",2026-01-13 19:20:48
