product_name,price,description,rating,reviews,extraction_date
Asus VivoBook X441NA-GA190,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",3,14 reviews,2026-01-13 19:20:48
Prestigio SmartBook 133S Dark Grey,$299,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",2,8 reviews,2026-01-13 19:20:48
Prestigio SmartBook 133S Gold,$299,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",4,12 reviews,2026-01-13 19:20:48
Aspire E1-510,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",3,2 reviews,2026-01-13 19:20:48
Lenovo V110-15IAP,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",3,5 reviews,2026-01-13 19:20:48
Lenovo V110-15IAP,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",2,6 reviews,2026-01-13 19:20:48
Hewlett Packard 250 G6 Dark Ash Silver,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",1,12 reviews,2026-01-13 19:20:48
Acer Aspire 3 A315-31 Black,$372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2,2 reviews,2026-01-13 19:20:48
Acer Aspire A315-31-C33J,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",2,0 reviews,2026-01-13 19:20:48
Acer Aspire ES1-572 Black,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",4,9 reviews,2026-01-13 19:20:48
Acer Aspire 3 A315-31 Black,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",4,10 reviews,2026-01-13 19:20:48
Acer Aspire 3 A315-21,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",3,9 reviews,2026-01-13 19:20:48
Asus VivoBook Max,$399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",1,4 reviews,2026-01-13 19:20:48
Asus VivoBook E502NA-GO022T Dark Blue,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4,3 reviews,2026-01-13 19:20:48
Lenovo ThinkPad E31-80,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",1,12 reviews,2026-01-13 19:20:48
Acer Aspire 3 A315-31 Black,$408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",4,10 reviews,2026-01-13 19:20:48
